Date,Open,High,Low,Close,Volume,Adj Close
2013-02-12,200.01,200.74,199.02,200.04,2461800,200.04
2013-02-11,200.98,201.95,199.75,200.16,2944700,200.16
2013-02-08,199.97,202.09,199.68,201.68,2893300,201.68
2013-02-07,200.62,200.91,198.68,199.74,3076700,199.74
2013-02-06,200.39,201.29,199.56,201.02,3624200,201.02
2013-02-05,204.31,204.75,202.51,202.79,3636900,201.94
2013-02-04,204.19,205.02,203.57,203.79,3188800,202.94
2013-02-01,204.65,205.35,203.84,205.18,3370700,204.32
2013-01-31,203.32,204.47,202.96,203.07,3091400,202.22
2013-01-30,203.69,204.88,203.19,203.52,2998400,202.67
2013-01-29,204.34,205.73,203.64,203.90,3617100,203.05
2013-01-28,204.85,206.22,204.29,204.93,2823700,204.07
2013-01-25,204.45,205.18,204.13,204.97,3358900,204.11
2013-01-24,203.91,205.06,203.08,204.42,4447200,203.56
2013-01-23,203.50,208.58,203.36,204.72,12530500,203.86
2013-01-22,194.36,196.08,194.01,196.08,7172300,195.26
2013-01-18,194.03,195.00,193.80,194.47,4559600,193.65
2013-01-17,193.85,194.46,193.24,193.65,3881600,192.84
2013-01-16,192.00,193.18,191.35,192.59,2962900,191.78
2013-01-15,191.31,192.73,190.39,192.50,4172100,191.69
2013-01-14,192.82,193.28,191.75,192.62,4172200,191.81
2013-01-11,194.15,195.00,192.90,194.45,3880400,193.63
2013-01-10,192.65,192.96,191.28,192.88,3608100,192.07
2013-01-09,193.48,193.49,191.65,192.32,3212000,191.51
2013-01-08,192.92,193.30,191.60,192.87,3026900,192.06
2013-01-07,193.40,193.78,192.34,193.14,2862300,192.33
2013-01-04,194.19,194.46,192.78,193.99,3380200,193.18
2013-01-03,195.67,196.29,194.44,195.27,3644700,194.45
2013-01-02,194.09,196.35,193.80,196.35,4234100,195.53
2012-12-31,189.23,191.68,188.84,191.55,4684900,190.75
2012-12-28,191.11,192.22,189.83,189.83,3536600,189.03
2012-12-27,191.53,193.28,190.70,192.71,3967600,191.90
2012-12-26,192.21,193.53,190.95,191.95,2776500,191.15
2012-12-24,193.05,193.83,192.02,192.40,1631200,191.59
2012-12-21,193.10,194.50,191.57,193.42,8225300,192.61
2012-12-20,194.47,194.95,193.16,194.77,4184500,193.95
2012-12-19,195.46,196.45,195.00,195.08,4270500,194.26
2012-12-18,193.85,195.92,193.84,195.69,4125900,194.87
2012-12-17,191.76,193.91,191.76,193.62,3792400,192.81
2012-12-14,191.69,193.40,191.26,191.76,3826900,190.96
2012-12-13,192.18,193.05,191.37,191.99,3623200,191.19
2012-12-12,194.60,194.75,192.46,192.95,4241900,192.14
2012-12-11,193.18,194.80,193.15,194.20,4144000,193.39
2012-12-10,192.17,193.54,191.65,192.62,3438500,191.81
2012-12-07,190.14,192.20,190.11,191.95,4091300,191.15
2012-12-06,189.17,190.18,188.41,189.70,3216600,188.90
2012-12-05,189.01,189.46,186.94,188.65,4202100,187.86
2012-12-04,189.71,190.75,189.02,189.36,3990700,188.57
2012-12-03,190.76,191.30,188.36,189.48,3349600,188.69
2012-11-30,191.75,192.00,189.50,190.07,4936400,189.27
2012-11-29,192.75,192.90,190.20,191.53,4077900,190.73
2012-11-28,190.98,192.04,189.27,191.98,3603600,191.18
2012-11-27,192.08,193.05,191.00,191.23,3290900,190.43
2012-11-26,192.45,193.37,191.77,192.88,5210300,192.07
2012-11-23,191.00,193.49,190.80,193.49,3877600,192.68
2012-11-21,189.30,190.89,188.95,190.29,5189600,189.49
2012-11-20,189.88,190.11,188.25,189.20,3170200,188.41
2012-11-19,188.62,190.39,188.30,190.35,3588900,189.55
2012-11-16,186.33,187.56,185.10,186.94,4660800,186.16
2012-11-15,185.83,187.20,184.78,185.85,3411700,185.07
2012-11-14,189.14,189.27,185.28,185.51,4404400,184.73
2012-11-13,188.39,190.88,188.25,188.32,3406700,187.53
2012-11-12,190.03,190.77,187.41,189.25,3067400,188.46
2012-11-09,189.85,191.64,188.88,189.64,3671600,188.85
2012-11-08,191.40,191.81,190.09,190.10,3542200,189.30
2012-11-07,193.36,193.68,191.16,191.16,4746200,190.36
2012-11-06,195.26,196.75,194.68,195.07,3281000,193.41
2012-11-05,192.36,194.97,192.01,194.14,2736200,192.48
2012-11-02,197.53,198.00,193.29,193.43,4260100,191.78
2012-11-01,194.68,197.89,194.55,197.15,3758800,195.47
2012-10-31,194.80,196.41,193.63,194.53,6052300,192.87
2012-10-26,191.49,193.87,191.47,193.27,4006500,191.62
2012-10-25,191.41,192.44,190.71,191.60,3249600,189.97
2012-10-24,192.44,193.29,190.56,190.72,3738000,189.09
2012-10-23,193.53,194.00,190.94,191.25,4427400,189.62
2012-10-22,193.71,194.68,192.44,194.40,4402500,192.74
2012-10-19,195.29,196.08,193.18,193.36,6620300,191.71
2012-10-18,199.91,200.14,194.07,194.96,9295900,193.30
2012-10-17,201.21,203.41,198.55,200.63,12673900,198.92
2012-10-16,209.94,211.00,209.47,211.00,5632100,209.20
2012-10-15,208.88,209.40,207.82,208.93,3060900,207.15
2012-10-12,205.64,207.96,205.56,207.80,2712000,206.03
2012-10-11,206.57,207.27,205.63,205.76,2910000,204.00
2012-10-10,207.82,208.23,205.05,205.82,4024500,204.06
2012-10-09,209.95,210.74,207.70,207.99,3580400,206.22
2012-10-08,210.02,210.64,209.21,209.82,1982600,208.03
2012-10-05,211.15,211.79,210.06,210.59,2858400,208.79
2012-10-04,210.28,210.97,208.53,210.39,2957500,208.60
2012-10-03,209.94,211.30,209.30,210.51,3192300,208.71
2012-10-02,210.96,211.47,208.50,209.84,3321000,208.05
2012-10-01,208.01,211.75,207.94,210.47,5456900,208.67
2012-09-28,205.66,208.32,205.31,207.45,4910900,205.68
2012-09-27,204.37,206.90,204.14,205.91,2771900,204.15
2012-09-26,205.05,205.98,203.90,204.00,3423300,202.26
2012-09-25,205.60,207.32,204.95,204.98,3345200,203.23
2012-09-24,205.02,206.06,204.90,205.29,3511100,203.54
2012-09-21,207.36,207.94,205.92,205.98,12771500,204.22
2012-09-20,205.85,206.99,205.30,206.18,3739100,204.42
2012-09-19,207.55,207.57,206.01,206.43,2605600,204.67
2012-09-18,206.88,207.88,206.48,207.07,2476100,205.30
2012-09-17,205.55,207.99,205.55,207.15,3275100,205.38
2012-09-14,206.24,207.65,206.05,206.81,4057100,205.05
2012-09-13,204.38,206.81,203.46,206.36,3879600,204.60
2012-09-12,203.52,204.65,202.96,203.77,3284000,202.03
2012-09-11,200.55,203.46,200.51,203.27,3910600,201.54
2012-09-10,199.39,201.82,198.73,200.95,4208000,199.24
2012-09-07,199.12,199.50,198.08,199.50,3413700,197.80
2012-09-06,196.26,199.46,196.11,199.10,3931700,197.40
2012-09-05,194.41,195.85,193.89,195.04,3312500,193.38
2012-09-04,196.61,197.17,193.25,194.54,4514400,192.88
2012-08-31,194.31,195.95,193.46,194.85,3193300,193.19
2012-08-30,194.77,195.47,193.18,193.37,2740900,191.72
2012-08-29,195.13,196.04,194.90,195.08,2141400,193.42
2012-08-28,195.56,196.11,194.50,194.87,2539200,193.21
2012-08-27,197.96,198.30,195.61,195.69,2498800,194.02
2012-08-24,194.96,198.11,194.20,197.77,2639500,196.08
2012-08-23,197.04,197.37,195.44,195.70,2757400,194.03
2012-08-22,198.64,198.65,196.90,197.25,3296100,195.57
2012-08-21,200.99,201.00,198.37,198.65,3111300,196.96
2012-08-20,200.69,201.13,200.03,200.50,2336000,198.79
2012-08-17,201.08,202.00,200.66,201.22,2551800,199.50
2012-08-16,198.77,201.32,198.12,200.84,2729500,199.13
2012-08-15,198.90,199.33,197.92,198.40,2111800,196.71
2012-08-14,198.88,199.33,197.72,198.29,2562300,196.60
2012-08-13,198.88,199.98,197.79,199.01,2418300,197.31
2012-08-10,197.87,199.37,197.24,199.29,2600500,197.59
2012-08-09,198.62,199.46,197.89,198.42,2160100,196.73
2012-08-08,198.27,199.69,198.16,199.03,2068300,197.33
2012-08-07,199.43,200.88,198.80,199.93,3209400,197.38
2012-08-06,198.76,199.94,198.52,198.76,2337800,196.23
2012-08-03,196.48,198.95,196.16,198.52,3278100,195.99
2012-08-02,194.16,196.60,193.02,194.45,2812600,191.97
2012-08-01,196.96,197.85,194.72,195.18,2559300,192.69
2012-07-31,196.50,197.58,195.88,195.98,3507000,193.48
2012-07-30,196.32,197.84,195.92,196.68,2787000,194.17
2012-07-27,195.10,197.41,193.95,196.39,4177300,193.89
2012-07-26,193.49,194.95,192.57,193.95,3282900,191.48
2012-07-25,190.31,192.77,189.32,191.08,3833800,188.64
2012-07-24,190.92,191.32,188.56,190.34,3597100,187.91
2012-07-23,189.78,191.30,188.20,190.83,3904500,188.40
2012-07-20,194.09,194.90,192.17,192.45,4789700,190.00
2012-07-19,193.40,196.85,192.97,195.34,10395400,192.85
2012-07-18,184.15,188.59,183.55,188.25,8019500,185.85
2012-07-17,185.73,186.29,183.20,183.65,5158600,181.31
2012-07-16,185.58,186.10,184.58,184.79,3144400,182.43
2012-07-13,183.46,186.33,183.03,186.01,3933000,183.64
2012-07-12,184.25,184.39,181.85,183.09,4931300,180.76
2012-07-11,186.22,187.36,183.51,185.25,5456100,182.89
2012-07-10,190.30,191.14,185.60,186.26,4690300,183.89
2012-07-09,190.76,191.00,188.05,189.67,3988100,187.25
2012-07-06,193.92,193.94,189.74,191.41,4952900,188.97
2012-07-05,194.88,196.85,193.63,195.29,2690200,192.80
2012-07-03,195.46,196.34,194.91,195.93,1450400,193.43
2012-07-02,196.36,197.20,194.85,195.83,2827000,193.33
2012-06-29,194.55,195.81,192.41,195.58,5259600,193.09
2012-06-28,191.23,192.08,188.90,191.40,3967300,188.96
2012-06-27,192.14,193.70,190.90,193.00,2762700,190.54
2012-06-26,193.54,193.68,190.75,191.95,3435900,189.50
2012-06-25,192.48,193.39,191.68,192.86,3211600,190.40
